Kansas City,Lawrence,Manhattan,Topeka,Wichita
"19th Street, North   66102","1876 Road, North   66049",Chenango Street   66502,"36th Court, Southwest   66614","2nd Street N, West   67212"
"19th Street, North   66102","1892 Road, North   66049",Cherokee Circle   66503,"36th Street, Northeast   66617","30th Ct N, East   67226"
"19th Street, North   66104","1892nd Road, North   66049",Cherry Circle   66503,"36th Street, Northwest   66617","30th Street Ct N, West   67204"
"19th Street, South   66102",18th Street   66047,Cherry Hill   66503,"36th Street, Southeast   66605","30th Street N, East   67219"
"19th Street, South   66105","18th Street, East   66044",Cheryl Terrace   66502,"36th Street, Southwest   66611","30th Street N, East   67226"
"19th Street, South   66106","18th Street, West   66044",Chic Circle   66503,"36th Street, Southwest   66614","30th Street N, West   67204"
1st Street   66111,"18th Street, West   66047",Chicago Avenue   66503,"36th Terrace, Northeast   66617","30th Street S, West   67217"
"1st Street, North   66101","18th Terrace, East   66044",Chimney Rock Circle   66503,"36th Terrace, Northwest   66618","31st Circle N, East   67226"
"1st Street, North   66118","1900 Road, East   66046",Chimney Rock Road   66503,"36th Terrace, Southeast   66605","31st Ct N, East   67226"
"1st Street, South   66111","1900 Road, North   66044",Chinkapin Circle   66502,"36th Terrace, Southwest   66611","31st S Court, West   67227"
"1st Street, South   66118","1900 Road, North   66049",Chippewa Circle   66503,"36th Terrace, Southwest   66614","31st Street E, North   67214"
"20 Place, North   66104","1941 Diagonal Road, North   66044",Chris Court   66503,"37th Street, Northeast   66617","31st Street E, North   67219"
"20th Place, North   66104","1950 Road, North   66049",Chris Drive   66502,"37th Street, Northwest   66617","31st Street E, South   67216"
"20th Street, North   66102","1964 Road, North   66049",Christy Drive   66503,"37th Street, Northwest   66618","31st Street N, East   67226"
"20th Street, North   66104","19th Court, West   66047",Church Avenue   66502,"37th Street, Southeast   66605","31st Street N, West   67204"
"20th Street, South   66102","19th Street, East   66046",Church Circle   66502,"37th Street, Southeast   66609","31st Street N, West   67205"
"20th Street, South   66102","19th Street, West   66044",Churchill Street   66503,"37th Street, Southwest   66611","31st Street S, East   67210"
"20th Street, South   66106","19th Street, West   66046",Churchill Way   66503,"37th Street, Southwest   66614","31st Street S, East   67216"
"21 Court, South   66106","19th Street, West   66047",Cindella Drive   66502,"37th Terrace, Northeast   66617","31st Street S, East   67230"
"21 Place, North   66102","19th Terrace, West   66046",Circle Road   66502,"37th Terrace, Northwest   66618","31st Street S, East   67232"
"21 Place, North   66104",1st Street   66044,Claflin Circle   66502,"37th Terrace, Southeast   66609","31st Street S, West   67215"
"21 Place, South   66106","1st Street, North   66044",Claflin Road   66502,"37th Terrace, Southwest   66609","31st Street S, West   67217"
21st Court   66106,"2000 Road, North   66044",Claflin Road   66503,"37th Terrace, Southwest   66610","31st Street S, West   67227"
"21st Court, South   66106","2000th Road, North   66049",Claflin Road   66506,"37th Terrace, Southwest   66611","31st Street Street N, East   67226"
"21st Place, North   66102","2050 Road, North   66044",Cliffside Drive   66503,"38th Circle, Southeast   66609","32nd Circle N, West   67204"
"21st Place, North   66104","2055 Road, North   66044",Cloud Circle   66503,"38th Court, Southwest   66610","32nd Ct N, East   67226"
"21st Place, South   66106","20th Street, East   66046",Coachman Road   66502,"38th Lane, Southwest   66610","32nd Street Ct S, West   67217"
"21st Street, North   66102","20th Street, West   66046",Cody Place   66502,"38th Place, Southwest   66610","32nd Street N, East   67226"
"21st Street, North   66104","20th Terrace, West   66046",Colgate Terrace   66503,"38th Street, Northeast   66617","32nd Street N, West   67204"
"21st Street, South   66102","2100 Road, North   66044",College Avenue   66502,"38th Street, Northwest   66618","32nd Street S, West   67217"
"21st Street, South   66106",21st Place   66047,College Heights Circle   66502,"38th Street, Southeast   66609","33rd Circle S, West   67215"
"22 Terrace, South   66106","21st Place, East   66046",College Heights Road   66502,"38th Street, Southwest   66609","33rd Street N, East   67219"
"22nd Street, North   66102","21st Place, West   66047",College View Road   66502,"38th Street, Southwest   66610","33rd Street N, West   67204"
"22nd Street, North   66102",21st Street   66044,Collins Lane   66502,"38th Terrace, Northwest   66618","33rd Street N, West   67205"
"22nd Street, North   66104","21st Street, East   66046","Collins Lane, South   66502","38th Terrace, Southeast   66609","33rd Street S, West   67215"
"22nd Street, South   66102","21st Street, West   66046",Colony Circle   66502,"38th Terrace, Southwest   66610","33rd Street S, West   67217"
"22nd Street, South   66106","21st Street, West   66047",Colony Lane   66502,"39th Circle, Southwest   66610",34th Court   67204
"22nd Terrace, South   66106","21st Terrace, East   66046",Colorado Street   66502,39th Court   66610,34th Court   67205
"23 Circle, South   66106","21st Terrace, West   66046",Columbine Court   66502,"39th Court, Northwest   66618","34th Ct N, East   67220"
"23rd Circle, South   66106",22nd Court   66047,Concord Circle   66503,"39th Court, Southwest   66610","34th Ct N, West   67205"
"23rd Street, North   66102","22nd Court, West   66047",Concord Lane   66503,39th Street Terrace   66609,"34th S Court, West   67227"
"23rd Street, North   66104","22nd Court, West   66049",Condray Road   66503,"39th Street, Northeast   66617","34th Street Circle N, West   67204"
"23rd Street, North   66104","22nd Street Terrace, West   66047",Conley Circle   66502,"39th Street, Northwest   66617","34th Street N, East   67219"
"23rd Street, South   66102","22nd Street, East   66046",Connecticut Avenue   66502,"39th Street, Northwest   66618","34th Street N, East   67220"
"23rd Street, South   66106","22nd Street, West   66046",Conrow Drive   66503,"39th Street, Southeast   66609","34th Street N, East   67226"
"24 Terrace, South   66102","22nd Street, West   66047",Conroy Road   66502,"39th Street, Southwest   66609","34th Street N, West   67204"
"24th Street, North   66102","22nd Terrace, East   66046",Corey Place   66502,"39th Street, Southwest   66610","34th Street N, West   67205"
"24th Street, North   66104","22nd Terrace, West   66046",Cornelia Court   66502,"39th Terrace, Northwest   66618","34th Street S, West   67215"
"24th Street, South   66102","22nd Terrace, West   66047",Coronado Heights Road   66502,"39th Terrace, Southeast   66609","34th Street S, West   67217"
"24th Street, South   66106",238th Street   66044,Corporate Drive   66503,"39th Terrace, Southwest   66610","34th Street S, West   67227"
"24th Terrace, South   66102",23rd Street   66044,Corral Circle   66503,"3rd Street, Southeast   66603","35th Street Circle N, East   67226"
"24th, South   66106","23rd Street, East   66046",Cottonwood Circle   66503,"3rd Street, Southeast   66607","35th Street Ct N, East   67226"
"25th Street, North   66102","23rd Street, West   66046",Country Club Place   66502,"3rd Street, Southwest   66603","35th Street Ct S, West   67215"
"25th Street, North   66104","23rd Terrace, East   66046",Country Road   66503,"3rd Street, Southwest   66606","35th Street N, East   67204"
"25th Street, South   66102","23rd Terrace, West   66047",County Highway 390   66503,"40th Court, Southwest   66610","35th Street N, East   67219"
"25th Street, South   66106",243rd Street   66044,County Highway 392   66503,"40th Street, Southeast   66609","35th Street N, East   67220"
"26th Street, North   66102",246th Street   66044,County Highway 393   66503,"40th Street, Southwest   66610","35th Street N, East   67226"
"26th Street, North   66104",246th Street   66044,County Highway 396   66503,"40th Street, Southwest   66614","35th Street N, West   67204"
"26th Street, South   66102",24th Place   66047,County Highway 402   66503,40th Terrace   66609,"35th Street S, West   67215"
"26th Street, South   66105",24th Street Terrace   66046,County Highway 406   66502,"40th Terrace, Northwest   66618","35th Street S, West   67217"
"26th Street, South   66106","24th Street Terrace, West   66047",County Highway 406   66503,"40th Terrace, Southwest   66609","35th Street S, West   67227"
"27th Street, North   66102","24th Street, East   66046",County Highway 408   66502,"40th Terrace, Southwest   66610","35th Street, East   67210"
"27th Street, North   66104","24th Street, West   66046",County Highway 408   66503,"41st Street, Southeast   66609","36th Circle N, East   67219"
"27th Street, South   66102","24th Street, West   66047",County Highway 412   66503,"41st Street, Southwest   66604","36th Street N, East   67219"
"27th Street, South   66106","24th Street, West   66049",County Highway 418   66502,"41st Street, Southwest   66609","36th Street N, East   67220"
"28th Street, North   66102",24th Terrace   66047,County Highway 895   66503,"41st Street, Southwest   66610","36th Street N, East   67226"
"28th Street, North   66104","24th Terrace, East   66046",County Highway 895 S   66503,"41st Terrace, Southeast   66609","36th Street N, West   67204"
"28th Street, South   66106","24th Terrace, West   66047",County Highway 897   66503,"42nd Circle, Southwest   66610","36th Street S, West   67215"
"28th Street, South   66106","251 Diag Road, East   66047",County Highway 899   66502,"42nd Court, Southeast   66609","36th Street, West   67215"
"29 Court, South   66106",254th Street   66044,County Highway 901   66502,"42nd Court, Southwest   66610","37th Ct N, West   67204"
"29th Court, South   66106",254th Street   66044,County Highway 903   66502,42nd Street   66605,37th Street Court   67215
29th Street   66106,258th Street   66044,County Highway 903   66506,"42nd Street, Southeast   66605","37th Street N, East   67219"
"29th Street, North   66102",25th   66047,County Highway 905   66502,"42nd Street, Southeast   66609","37th Street N, East   67220"
"29th Street, North   66104","25th Court, East   66046",County Highway 911   66502,"42nd Street, Southwest   66609","37th Street N, East   67226"
"29th Street, South   66106","25th Court, West   66046",County Highway 917   66502,"42nd Street, Southwest   66610","37th Street N, East   67228"
"29th Street, South   66106","25th Place, East   66046",Cox Circle   66502,42nd Terrace   66618,"37th Street N, West   67204"
2nd Street   66111,"25th Place, West   66047",Creighton Circle   66503,"42nd Terrace, Northwest   66618","37th Street N, West   67205"
"2nd Street, North   66101",25th Street   66044,Crescent Drive   66503,"42nd Terrace, Southeast   66609","37th Street N, West   67223"
"2nd Street, North   66111",25th Street   66047,Crestline Drive   66502,"42nd Terrace, Southwest   66610","37th Street S, East   67216"
"2nd Street, North   66118","25th Street Court, West   66046",Crestwood Drive   66502,"43rd Court, Northwest   66618","37th Street S, West   67215"
"2nd Street, North   66118","25th Street, East   66044",Crossgate Circle   66503,"43rd Court, Southwest   66610","38th Ct S, West   67215"
"2nd Street, South   66111","25th Street, East   66046",Crossgate Terrace   66503,"43rd Place, Southeast   66609",38th Street   67215
"2nd Street, South   66111","25th Street, West   66046",Daisy Court   66502,"43rd Street, Northeast   66617","38th Street N, East   67220"
"2nd Street, South   66118","25th Street, West   66047","Dam Road, South   66502","43rd Street, Northwest   66617","38th Street N, East   67226"
"30 Drive, South   66106",25th Terrace   66047,Dana Dell Drive   66503,"43rd Street, Northwest   66618","38th Street N, West   67204"
"30th Drive, South   66106","25th Terrace, East   66046",Danbury Court   66503,"43rd Street, Southeast   66609","39th Ct N, East   67220"
"30th Street, North   66102",260th Street   66044,Daniel Avenue   66503,"43rd Street, Southwest   66610","39th Ct N, East   67226"
"30th Street, North   66104",262nd Street   66044,Daniels Drive   66502,"43rd Terrace, Northwest   66618",39th Street Court   67226
